CIK
0001455290
0001768099
0001313559
0001510387
0001728201
0000820123
0001511985
0001512601
0001730477
0001382333
0001280604
0000936936
0001006378
0000923338
0001056559
0001538449
0001055951
0001426857
0001184820
0001427263
0001731123
0001713735
0001518364
0001697882
0001760540
0001541496
0001469751
0001768302
0001083190
0001002784
0001568621
0001015079
0001596055
0001599793
0001666472
0000918504
0001326389
0001744349
0001732008
0001484256
0001649107
0001664017
0001652529
0001321194
0001107310
0001005607
0000894205
0000350894
0000764106
0001599016
0001666613
0000938759
0001351950
0001353312
0001166559
0001317588
0001315421
0001317195
0000940445
0000005272
0001086763
0001135121
0001705711
0001322853
0001705929
0001658509
0001140334
0001089710
0001108965
0001614986
0001730467
0001633446
0001567195
0001699506
0001584686
0000884300
0001752761
0001398318
0001682733
0000884566
0001569395
0001776296
0000040417
0001082509
0001092903
0001032814
0001775863
0000891287
0001279342
0001038661
0001735734
0001653857
0001767640
0000320376
0001179475
0001540866
0001623707
0001737987
0001729847
0000889232
0001466153
0001497637
0000857508
0001280493
0000902367
0001765285
0001541617
0000811407
0001630243
0001482012
0001512026
0001704404
0001612063
0001595907
0001767343
0001697233
0000820478
0001206792
0001730818
0001476804
0001764008
0001424467
0001744373
0000891943
0001600085
0001540569
0001536054
0001583672
0001741426
0001410833
0001752045
0001704132
0001095836
0000010742
0001455288
0001480532
0001730610
0001100710
0000714142
0001013234
0000905567
0001586767
0001376772
0001732537
0001172779
0001314376
0001669662
0001080369
0001665241
0001753219
0001606588
0001393389
0001481669
0000732905
0001538383
0001714450
0000860176
0001638555
0001487438
0001766157
0001588873
0001595849
0001697717
0001389223
0000949623
0001334199
0001387130
0001276918
0001353110
0001730945
0001591377
0000908195
0001365341
0001425165
0001290668
0001556921
0001165408
0000932024
0001599863
0001748766
0000733444
0001731876
0001542383
0000915287
0001581641
0001503269
0001667146
0001771687
0001535452
0001050470
0001017645
0001459754
0001508097
0001512746
0001665012
0001133653
0001287618
0001569454
0001611518
0001580830
0001483259
0001767217
0001599383
0001323414
0001608826
0001631775
0001631941
0001109147
0001767080
0001053292
0001282189
0001696615
0001687241
0001053914
0001512404
0001456048
0000837592
0001214822
0001535588
0001385925
0001733082
0001765594
0001033984
0001586052
0001681004
0001730565
0000944317
0001742569
0000707179
0001078246
0001728121
0001279151
0001525362
0001569356
0001074273
0001166152
0001737871
0001664713
0001697591
0001471265
0001102578
0001729428
0001512611
0001618376
0001396318
0001675688
0001569650
0001756959
0001761871
0001633648
0001313756
0001121477
0001744317
0001042063
0001218583
0001566113
0001080380
0001591122
